Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Robinson M.D., Persich M.R., Irvin R.L.","7404467028;57188752768;57218248455;","An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being",2022,"Journal of Research in Personality","97",,"104207","","",,,"10.1016/j.jrp.2022.104207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124898277&doi=10.1016%2fj.jrp.2022.104207&partnerID=40&md5=816c128304cc05885bba17bdf8403f28","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85124898277
"Lanz L., Thielmann I., Gerpott F.H.","57226721717;56107426200;56901406600;","Are social desirability scales desirable? A meta-analytic test of the validity of social desirability scales in the context of prosocial behavior",2022,"Journal of Personality","90","2",,"203","221",,1,"10.1111/jopy.12662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112478471&doi=10.1111%2fjopy.12662&partnerID=40&md5=fb2702b37af18d33cc18f1f8a8f7bf72","John Wiley and Sons Inc","34265863",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112478471
"Kokubun K., Yamakawa Y., Nemoto K.","57201321140;55160952700;8567020800;","The link between the brain volume derived index and the determinants of social performance",2022,"Current Psychology",,,,"","",,,"10.1007/s12144-021-02544-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122103839&doi=10.1007%2fs12144-021-02544-3&partnerID=40&md5=ca38e0dc490390d26f8b1e59953f0823","Springer",,Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85122103839
"Gilchrist G., Potts L., Radcliffe P., Halliwell G., Dheensa S., Henderson J., Johnson A., Love B., Gilchrist E., Feder G., Parrott S., Li J., McMurran M., Kirkpatrick S., Stephens-Lewis D., Easton C., Berbary C., Landau S.","56249879600;26323388900;24333094800;57201405944;36727032800;57205119601;57211453052;56419516400;6701715170;57210811872;8342965100;56580778500;7004525514;57216845133;57211453054;7004478567;57203136528;7101776972;","ADVANCE integrated group intervention to address both substance use and intimate partner abuse perpetration by men in substance use treatment: a feasibility randomised controlled trial",2021,"BMC Public Health","21","1","980","","",,1,"10.1186/s12889-021-11012-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106892381&doi=10.1186%2fs12889-021-11012-3&partnerID=40&md5=ad9fceb050df9e98091d45fb9cb0eaa3","BioMed Central Ltd","34034690",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106892381
"Preuss M.","57202589282;","Intra-individual stability of two survey measures on forward-looking attitude",2021,"Journal of Economic Behavior and Organization","190",,,"201","227",,,"10.1016/j.jebo.2021.06.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112503384&doi=10.1016%2fj.jebo.2021.06.049&partnerID=40&md5=e85d61837e8476d44d73e87e86952881","Elsevier B.V.",,Article,"Final","",Scopus,2-s2.0-85112503384
"Littlefield A.K., Lane S.P., Gette J.A., Watts A.L., Sher K.J.","26435400700;54884045700;57216879650;36987777600;7005939202;","The “Big Everything”: Integrating and investigating dimensional models of psychopathology, personality, personality pathology, and cognitive functioning.",2021,"Personality Disorders: Theory, Research, and Treatment","12","2",,"103","114",,4,"10.1037/per0000457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090587734&doi=10.1037%2fper0000457&partnerID=40&md5=3f3e18286b3099c0cebc090857919ae0","American Psychological Association","32915005",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090587734
"van Hooft E.A.J., Kreemers L.M.","6506939038;56007254900;","Stop and start control at work: Differential validity of two types of self-control for work behavior and emotion regulation",2021,"International Journal of Selection and Assessment",,,,"","",,,"10.1111/ijsa.12359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120437404&doi=10.1111%2fijsa.12359&partnerID=40&md5=6e0cf3bb292fa2b4fca36e88011a127e","John Wiley and Sons Inc",,Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85120437404
"Liu J., Zhu L., Liu C.","57221260389;56040854200;14625366300;","Sleep Quality and Self-Control: The Mediating Roles of Positive and Negative Affects",2020,"Frontiers in Psychology","11",,"607548","","",,4,"10.3389/fpsyg.2020.607548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098631970&doi=10.3389%2ffpsyg.2020.607548&partnerID=40&md5=61830675cf8c0b5953d1a0ce704b99e8","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098631970
"Heinze P.E., Fatfouta R., Schröder-Abé M.","57215832459;55671002800;15045576500;","Validation of an implicit measure of antagonistic narcissism",2020,"Journal of Research in Personality","88",,"103993","","",,2,"10.1016/j.jrp.2020.103993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088260262&doi=10.1016%2fj.jrp.2020.103993&partnerID=40&md5=5cb1cd7ceb4110bbbec881a289c71bdf","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85088260262
"Freng S.","24597268100;","Development of the Motivation to Participate in Psychological Research Scale",2020,"Journal of Individual Differences","41","3",,"160","174",,,"10.1027/1614-0001/a000317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078143409&doi=10.1027%2f1614-0001%2fa000317&partnerID=40&md5=1df8d03180b82b4781f193eadb51cce2","Hogrefe Publishing GmbH",,Article,"Final","",Scopus,2-s2.0-85078143409
"Müller F., Denk A., Lubaway E., Sälzer C., Kozina A., Perše T.V., Rasmusson M., Jugović I., Nielsen B.L., Rozman M., Ojsteršek A., Jurko S.","57212103490;57208427640;57205702526;54790156600;37055820600;36452387200;54984630200;26021272000;55227838300;55958767900;57208427013;57208423050;","Assessing social, emotional, and intercultural competences of students and school staff: A systematic literature review",2020,"Educational Research Review","29",,"100304","","",,7,"10.1016/j.edurev.2019.100304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075952507&doi=10.1016%2fj.edurev.2019.100304&partnerID=40&md5=8a0191de1a4056cfdf75189568f47957","Elsevier Ltd",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-85075952507
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Thielmann I., Spadaro G., Balliet D.","56107426200;56287320400;24068367200;","Personality and prosocial behavior: A theoretical framework and meta-analysis",2020,"Psychological Bulletin","146","1",,"30","90",,123,"10.1037/bul0000217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076575399&doi=10.1037%2fbul0000217&partnerID=40&md5=8dcd32542083ed625432315463d84e33","American Psychological Association Inc.","31841013",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076575399
"Rundle K., Curtis G.J., Clare J.","57202360020;8383455000;19834119100;","Why Students Do Not Engage in Contract Cheating",2019,"Frontiers in Psychology","10",,"2229","","",,20,"10.3389/fpsyg.2019.02229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073677188&doi=10.3389%2ffpsyg.2019.02229&partnerID=40&md5=50b8ff1001904e49f13d2b56f4ee4206","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073677188
"Stavrova O., Kokkoris M.D.","36615833200;57210088437;","Struggling to be liked: The prospective effect of trait self-control on social desirability and the moderating role of agreeableness",2019,"International Journal of Psychology","54","2",,"232","236",,6,"10.1002/ijop.12444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023644531&doi=10.1002%2fijop.12444&partnerID=40&md5=599bdc7297d7d859fa4a62d23eee2042","Wiley-Blackwell Publishing Ltd","28703330",Article,"Final","",Scopus,2-s2.0-85023644531
"Lazuras L., Ypsilanti A., Powell P., Overton P.","10043898200;57193379796;55598199600;7003701502;","The roles of impulsivity, self-regulation, and emotion regulation in the experience of self-disgust",2019,"Motivation and Emotion","43","1",,"145","158",,5,"10.1007/s11031-018-9722-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053030602&doi=10.1007%2fs11031-018-9722-2&partnerID=40&md5=27788696cf48aab3e19df48579872783","Springer New York LLC",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85053030602
"Nepomuceno M.V., Laroche M.","36018860500;35866711700;","When Materialists Intend to Resist Consumption: The Moderating Role of Self-Control and Long-Term Orientation",2017,"Journal of Business Ethics","143","3",,"467","483",,31,"10.1007/s10551-015-2792-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938149215&doi=10.1007%2fs10551-015-2792-0&partnerID=40&md5=38c1bbf41b5a9fe525a22a7005ae1198","Springer Netherlands",,Article,"Final","",Scopus,2-s2.0-84938149215
"Visserman M.L., Righetti F., Kumashiro M., Van Lange P.A.M.","56196533000;36951712900;7007155919;7004460194;","Me or Us? Self-Control Promotes a Healthy Balance Between Personal and Relationship Concerns",2017,"Social Psychological and Personality Science","8","1",,"55","65",,14,"10.1177/1948550616662121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008263845&doi=10.1177%2f1948550616662121&partnerID=40&md5=7c77b2f18bbc316c4dcc3085bfeffa2a","SAGE Publications Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85008263845
"Ozaki Y., Goto T., Kobayashi M., Kutsuzawa G.","55961939400;55636760300;55533989600;57190279978;","Reliability and validity of the Japanese translation of Brief Self-Control Scale (BSCS-J)",2016,"Shinrigaku Kenkyu","87","2",,"144","154",,12,"10.4992/jjpsy.87.14222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978870337&doi=10.4992%2fjjpsy.87.14222&partnerID=40&md5=12fc311a844b12d239044ff045485f4e","Japanese Psychological Association","27476264",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84978870337
"Tong E.M.W., Tan K.W.T., Chor A.A.B., Koh E.P.S., Lee J.S.Y., Tan R.W.Y.","7006335230;56765029600;56895993700;56895678500;56895524700;56895582800;","Humility facilitates higher self-control",2016,"Journal of Experimental Social Psychology","62",,,"30","39",,19,"10.1016/j.jesp.2015.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943523110&doi=10.1016%2fj.jesp.2015.09.008&partnerID=40&md5=f2ca252507cbb2e03666d5d6e3a4ca93","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-84943523110
"Mikolon S., Kolberg A., Haumann T., Wieseke J.","36622791000;56511950000;55615574100;10040167000;","The Complex Role of Complexity: How Service Providers Can Mitigate Negative Effects of Perceived Service Complexity When Selling Professional Services",2015,"Journal of Service Research","18","4",,"513","528",,32,"10.1177/1094670514568778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943776510&doi=10.1177%2f1094670514568778&partnerID=40&md5=7af8897f476733af62ac4b080a6fa8be","SAGE Publications Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84943776510
"Bornstein M.H., Putnick D.L., Lansford J.E., Pastorelli C., Skinner A.T., Sorbring E., Tapanya S., Uribe Tirado L.M., Zelli A., Alampay L.P., Al-Hassan S.M., Bacchini D., Bombi A.S., Chang L., Deater-Deckard K., Di Giunta L., Dodge K.A., Malone P.S., Oburu P.","7102912887;14049045800;7003639329;6701500087;35976702900;6506914026;14064077200;44861987200;6602098039;35731029700;36496358200;9247670600;7801311534;36180762700;7004361275;25627159200;7006549582;7102423479;8437043600;","Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self-reports",2015,"International Journal of Psychology","50","3",,"174","185",,64,"10.1002/ijop.12084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928749061&doi=10.1002%2fijop.12084&partnerID=40&md5=23f7cd66566609adffd984eb14e077be","Wiley-Blackwell Publishing Ltd","25043708",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928749061
"Blackhart G.C., Williamson J., Nelson L.","6507592377;57199894299;57149874300;","Social anxiety in relation to Selfcontrol depletion following social interactions",2015,"Journal of Social and Clinical Psychology","34","9",,"747","773",,4,"10.1521/jscp.2015.34.9.747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946721348&doi=10.1521%2fjscp.2015.34.9.747&partnerID=40&md5=44c4fe422055a425954494ac4ba8e0c6","Guilford Publications",,Article,"Final","",Scopus,2-s2.0-84946721348
"Grubbs J.B., Exline J.J., Pargament K.I., Hook J.N., Carlisle R.D.","54907163700;6603930548;7004253169;16052590700;37008977200;","Transgression as Addiction: Religiosity and Moral Disapproval as Predictors of Perceived Addiction to Pornography",2015,"Archives of Sexual Behavior","44","1",,"125","136",,134,"10.1007/s10508-013-0257-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928767876&doi=10.1007%2fs10508-013-0257-z&partnerID=40&md5=1922c556394267defb5b1c46f93dd199","Springer Science and Business Media, LLC","24519108",Article,"Final","",Scopus,2-s2.0-84928767876
"Thau S., Derfler-Rozin R., Pitesa M., Mitchell M.S., Pillutla M.M.","16176620900;26039095700;55102745300;55416563300;6602792496;","Unethical for the sake of the group: Risk of social exclusion and pro-group unethical behavior",2015,"Journal of Applied Psychology","100","1",,"98","113",,124,"10.1037/a0036708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925654366&doi=10.1037%2fa0036708&partnerID=40&md5=1b48588bd2d0d0e34760cfad54faee5a","American Psychological Association Inc.","24773402",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84925654366
"Uziel L.","16305445700;","Life seems different with you around: Differential shifts in cognitive appraisal in the mere presence of others for neuroticism and impression management",2015,"Personality and Individual Differences","73",,,"39","43",,6,"10.1016/j.paid.2014.09.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908010178&doi=10.1016%2fj.paid.2014.09.023&partnerID=40&md5=1795c5f78b5020006a7a86d966b9e72d","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-84908010178
"Lemrová S., Reiterová E., Fatěnová R., Lemr K., Tang T.L.-P.","56427018000;36722296300;56427028100;57195213872;24559503500;","Money is Power: Monetary Intelligence—Love of Money and Temptation of Materialism Among Czech University Students",2014,"Journal of Business Ethics","125","2",,"329","348",,29,"10.1007/s10551-013-1915-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911970842&doi=10.1007%2fs10551-013-1915-8&partnerID=40&md5=d86e6036d2a7aec7a40740abef338d3b","Kluwer Academic Publishers",,Article,"Final","",Scopus,2-s2.0-84911970842
"Uziel L., Hefetz U.","16305445700;56416528000;","The selfish side of self-control",2014,"European Journal of Personality","28","5",,"449","458",,18,"10.1002/per.1972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910133337&doi=10.1002%2fper.1972&partnerID=40&md5=38bd84dac08a9ba733c7ff7748818dc9","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-84910133337
"Malouf E.T., Schaefer K.E., Witt E.A., Moore K.E., Stuewig J., Tangney J.P.","56033366200;55341207900;24177896200;55830362600;8669208700;7004465389;","The Brief Self-Control Scale Predicts Jail Inmates' Recidivism, Substance Dependence, and Post-Release Adjustment",2014,"Personality and Social Psychology Bulletin","40","3",,"334","347",,39,"10.1177/0146167213511666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893865626&doi=10.1177%2f0146167213511666&partnerID=40&md5=122d50704cfe685d4a4f4907c96d1edf",,"24345712",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84893865626
"Gebauer J.E., Bleidorn W., Gosling S.D., Rentfrow P.J., Lamb M.E., Potter J.","11140570500;27367623900;16733981500;6602274526;7102285207;7403341430;","Cross-cultural variations in big five relationships with religiosity: A sociocultural motives perspective",2014,"Journal of Personality and Social Psychology","107","6",,"1064","1091",,63,"10.1037/a0037683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925435340&doi=10.1037%2fa0037683&partnerID=40&md5=6f60fa2b210f578888a4ae25c8d30a79","American Psychological Association Inc.","25180757",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84925435340
"DeWall C.N., Pond Jr. R.S., Carter E.C., McCullough M.E., Lambert N.M., Fincham F.D., Nezlek J.B.","6507380747;36464269500;54787468100;7101948673;14420115200;7006653075;7004481879;","Explaining the relationship between religiousness and substance use: Self-control matters",2014,"Journal of Personality and Social Psychology","107","2",,"339","351",,44,"10.1037/a0036853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905502415&doi=10.1037%2fa0036853&partnerID=40&md5=fb9380855f0e10920befac6b38059858","American Psychological Association Inc.","25090132",Article,"Final","",Scopus,2-s2.0-84905502415
"Uziel L.","16305445700;","Impression management (""Lie"") scales are associated with interpersonally oriented self-control, not other-deception",2014,"Journal of Personality","82","3",,"200","212",,27,"10.1111/jopy.12045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899656415&doi=10.1111%2fjopy.12045&partnerID=40&md5=681415acde4180655b0c1c86e6a97087","Blackwell Publishing Ltd","23750550",Article,"Final","",Scopus,2-s2.0-84899656415
"Kim-Spoon J., Farley J.P., Holmes C., Longo G.S., McCullough M.E.","54787938400;55578207100;55828074300;55272338800;7101948673;","Processes Linking Parents' and Adolescents' Religiousness and Adolescent Substance Use: Monitoring and Self-Control",2014,"Journal of Youth and Adolescence","43","5",,"745","756",,30,"10.1007/s10964-013-9998-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897963169&doi=10.1007%2fs10964-013-9998-1&partnerID=40&md5=6b6caa87915c5b5340a3f5038f8dd127","Springer New York LLC","23975353",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84897963169
"Wolff N., Morgan R.D., Shi J.","7005578307;7403330191;14325844600;","Comparative Analysis of Attitudes and Emotions Among Inmates: Does Mental Illness Matter?",2013,"Criminal Justice and Behavior","40","10",,"1092","1108",,20,"10.1177/0093854813488760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883634388&doi=10.1177%2f0093854813488760&partnerID=40&md5=f3bc3e395edca5b93609b95090cad4b9",,,Article,"Final","",Scopus,2-s2.0-84883634388
"Tang T.L.-P., Sutarso T.","24559503500;8709027500;","Falling or Not Falling into Temptation? Multiple Faces of Temptation, Monetary Intelligence, and Unethical Intentions Across Gender",2013,"Journal of Business Ethics","116","3",,"529","552",,45,"10.1007/s10551-012-1475-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884587890&doi=10.1007%2fs10551-012-1475-3&partnerID=40&md5=927d3545c3955d181dcac53d82a290d8",,,Article,"Final","",Scopus,2-s2.0-84884587890
"Carter E.C., McCullough M.E., Carver C.S.","54787468100;7101948673;7006828112;","The mediating role of monitoring in the association of religion with self-control",2012,"Social Psychological and Personality Science","3","6",,"691","697",,35,"10.1177/1948550612438925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867720680&doi=10.1177%2f1948550612438925&partnerID=40&md5=36c4e4045cf1f17ba6070978afae43a0",,,Article,"Final","",Scopus,2-s2.0-84867720680
"Uziel L., Baumeister R.F.","16305445700;7102470609;","The Effect of Public Social Context on Self-Control: Depletion for Neuroticism and Restoration for Impression Management",2012,"Personality and Social Psychology Bulletin","38","3",,"384","396",,20,"10.1177/0146167211427310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857148396&doi=10.1177%2f0146167211427310&partnerID=40&md5=85c40589d327817791d114ccd34cb0d4",,"22143310",Article,"Final","",Scopus,2-s2.0-84857148396
"Dinovo S.A., Vasey M.W.","39361428200;6701656907;","Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia",2011,"Journal of Research in Personality","45","5",,"430","440",,27,"10.1016/j.jrp.2011.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052287623&doi=10.1016%2fj.jrp.2011.05.002&partnerID=40&md5=e8975d754d21b69479bdad2b3e336457",,,Article,"Final","All Open Access, Green",Scopus,2-s2.0-80052287623
"Baumeister R.F., Crescioni A.W., Alquist J.L.","7102470609;35603278400;30867492000;","Free will as advanced action control for human social life and culture",2011,"Neuroethics","4","1",,"1","11",,38,"10.1007/s12152-010-9058-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954580880&doi=10.1007%2fs12152-010-9058-4&partnerID=40&md5=16ffc2cc2cb3b4aa351caa243832ae8e","Kluwer Academic Publishers",,Article,"Final","",Scopus,2-s2.0-79954580880
"Uziel L.","16305445700;","Rethinking social desirability scales: From impression management to interpersonally oriented self-control",2010,"Perspectives on Psychological Science","5","3",,"243","262",,193,"10.1177/1745691610369465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649309447&doi=10.1177%2f1745691610369465&partnerID=40&md5=dd5d9beebf4eb20c0c1e8af7dd1361c4",,,Review,"Final","All Open Access, Green",Scopus,2-s2.0-78649309447
"Burnette J.L.","16047049500;","Implicit theories of body weight: Entity beliefs can weigh you down",2010,"Personality and Social Psychology Bulletin","36","3",,"410","422",,109,"10.1177/0146167209359768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649264077&doi=10.1177%2f0146167209359768&partnerID=40&md5=06b4fa4169a81d681e178081f439bad5",,"20179317",Article,"Final","",Scopus,2-s2.0-77649264077
"Ricard-St-Aubin J.-S., Philippe F.L., Beaulieu-Pelletier G., Lecours S.","33167690600;23994013200;25930707000;11940138200;","French validation of the Differential Emotions Scale IV (DES-IV) [Validation francophone de l'Échelle des émotions différentielles IV (EED-IV)]",2010,"Revue europeenne de psychologie appliquee","60","1",,"41","53",,11,"10.1016/j.erap.2009.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649148050&doi=10.1016%2fj.erap.2009.05.001&partnerID=40&md5=cb4c98e3273875af71f296cd8528e900","Elsevier Masson SAS",,Article,"Final","",Scopus,2-s2.0-73649148050
"Rick S.I., Cryder C.E., Loewenstein G.","23991754100;24079794700;7004312288;","Tightwads and spendthrifts",2008,"Journal of Consumer Research","34","6",,"767","782",,206,"10.1086/523285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42549166653&doi=10.1086%2f523285&partnerID=40&md5=2ac95487737a0613d89bc0288926f6e0",,,Review,"Final","",Scopus,2-s2.0-42549166653
"Li A., Bagger J.","36985142700;23487873900;","The Balanced Inventory of Desirable Responding (BIDR): A reliability generalization study",2007,"Educational and Psychological Measurement","67","3",,"525","544",,60,"10.1177/0013164406292087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248188163&doi=10.1177%2f0013164406292087&partnerID=40&md5=e428c8b85f847aba7926ee3081e9119b","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-34248188163
